ChildID,SessionDateStr,occurrence,SessionHeldOn_1,SessionHeldOn_2,SessionHeldOn_3,CurriculumCode_1,CurriculumCode_2,CurriculumCode_3
2249709,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249712,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249713,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249724,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249726,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249730,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249733,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249734,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249738,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249741,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249745,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249749,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
2249755,24-08-2026,2,24-08-2026 10:47,24-08-2026 13:10,,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,
