SessionDateStr,Unique_Children_With_Multiple_Sessions,Child_Date_Cases,Maximum_Sessions_In_A_Day,Average_Sessions_Per_Case
21-07-2026,10,10,2,2.0
22-07-2026,13,13,2,2.0
23-07-2026,8,8,2,2.0
28-07-2026,48,48,2,2.0
29-07-2026,132,132,2,2.0
30-07-2026,87,87,2,2.0
31-07-2026,48,48,2,2.0
03-08-2026,79,79,2,2.0
07-08-2026,97,97,2,2.0
11-08-2026,22,22,2,2.0
12-08-2026,17,17,2,2.0
13-08-2026,55,55,2,2.0
14-08-2026,58,58,2,2.0
17-08-2026,13,13,2,2.0
18-08-2026,31,31,2,2.0
20-08-2026,19,19,2,2.0
21-08-2026,18,18,2,2.0
24-08-2026,83,83,2,2.0
25-08-2026,246,246,3,2.0
26-08-2026,11,11,2,2.0
27-08-2026,33,33,2,2.0
31-08-2026,23,23,2,2.0
